Timestamp,What is your role?,What is your age group?,How frequently do you use online food ordering apps?,How easy is it to navigate food ordering apps?,How long does it typically take you to complete a food order?,Are the steps to place an order clear and easy to follow?,Have you experienced technical errors while using food ordering apps?,What types of errors have you experienced? (Select all that apply),Does the app require you to remember a lot of information?,What information do you need to remember? (Select all that apply),How stressful do you find using food ordering apps?,How satisfied are you with your overall experience?,Do technical issues or navigation confusion increase your anxiety?,Which improvements would help most? (Select all that apply)
2026/01/10 9:02:15 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Items Disappear from Cart",Yes,"Promo Code, Coupon Expiry, Login Password",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages"
2026/01/10 9:04:32 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Payment Failed",Yes,"Promo Code, Cart Contents, Saved Address",Stressful,Dissatisfied,Yes,"Simplified Checkout, Better Search Filters"
2026/01/10 9:06:47 AM,Student,23-26,Weekly,Neutral,2-5 min,Somewhat Clear,Yes,"Slow Loading, App Crash",Yes,"Login Password, Promo Code",Neutral,Neutral,Yes,"Clearer Error Messages, Consistent UI Design"
2026/01/10 9:08:22 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Payment Failed, Items Disappear from Cart, Slow Loading",Yes,"Promo Code, Coupon Expiry, Saved Address, Cart Contents",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Better Search Filters"
2026/01/10 9:10:05 AM,Working Professional,23-26,Weekly,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Payment Failed",Yes,"Promo Code, Login Password, Cart Contents",Stressful,Dissatisfied,Yes,"Simplified Checkout, Consistent UI Design"
2026/01/10 9:12:33 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"App Crash, Slow Loading",Yes,"Promo Code, Coupon Expiry",Stressful,Very Dissatisfied,Yes,"Clearer Error Messages, Better Search Filters, Simplified Checkout"
2026/01/10 9:14:51 AM,Student,18-22,Monthly,Neutral,2-5 min,Somewhat Clear,Yes,"Slow Loading",Yes,"Login Password, Saved Address",Neutral,Neutral,No,"Better Search Filters"
2026/01/10 9:16:29 AM,Student,23-26,Daily,Difficult,5-10 min,Not Clear,Yes,"Items Disappear from Cart, Payment Failed",Yes,"Cart Contents, Promo Code, Coupon Expiry",Stressful,Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages"
2026/01/10 9:18:44 AM,Student,18-22,Daily,Difficult,Failed to complete,Not Clear,Yes,"Slow Loading, App Crash, Payment Failed",Yes,"Promo Code, Login Password, Coupon Expiry, Cart Contents",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Better Search Filters, Clearer Error Messages, Consistent UI Design"
2026/01/10 9:20:17 AM,Student,18-22,Weekly,Easy,2-5 min,Yes Completely Clear,No,,No,,Comfortable,Satisfied,No,"Better Search Filters"
